2025-04-15 11:30:18,361 - DEBUG - pymongo.topology  - {"message": "Starting topology monitoring", "topologyId": {"$oid": "67fe434a9994c0b5bbcfd8df"}}
2025-04-15 11:48:46,222 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:48:56,230 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10009.682901000133, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:48:56.229Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:48:56,233 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:49:01,240 - DEBUG - pymongo.serverSelection  - {"message": "Server selection started", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 67fe4757625bd101b2ba6f79, topology_type: Single, servers: [<ServerDescription ('mongo', 27017) server_type: Standalone, rtt: 0.0012245580800789215>]>", "clientId": {"$oid": "67fe4757625bd101b2ba6f79"}}
2025-04-15 11:49:01,241 - DEBUG - pymongo.serverSelection  - {"message": "Server selection succeeded", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 67fe4757625bd101b2ba6f79, topology_type: Single, servers: [<ServerDescription ('mongo', 27017) server_type: Standalone, rtt: 0.0012245580800789215>]>", "clientId": {"$oid": "67fe4757625bd101b2ba6f79"}, "serverHost": "mongo", "serverPort": 27017}
2025-04-15 11:49:01,241 - DEBUG - pymongo.connection  - {"message": "Connection checkout started", "clientId": {"$oid": "67fe4757625bd101b2ba6f79"}, "serverHost": "mongo", "serverPort": 27017}
2025-04-15 11:49:01,242 - DEBUG - pymongo.connection  - {"message": "Connection checked out", "clientId": {"$oid": "67fe4757625bd101b2ba6f79"}, "serverHost": "mongo", "serverPort": 27017, "driverConnectionId": 1, "durationMS": 0.0006317480001598597}
2025-04-15 11:49:01,242 - DEBUG - pymongo.command  - {"message": "Command started", "clientId": {"$oid": "67fe4757625bd101b2ba6f79"}, "command": "{\"find\": \"conversations\", \"filter\": {\"_id\": {\"$oid\": \"67fe471213fef0e1d85517e6\"}, \"user_id\": \"67ab34681651d023b1165748\"}, \"limit\": 1, \"singleBatch\": true, \"lsid\": {\"id\": {\"$binary\": {\"base64\": \"qsIoZCrHSwC41nEXVZ6ZBQ==\", \"subType\": \"04\"}}}, \"$db\": \"mcp-agent-database\"}", "commandName": "find", "databaseName": "mcp-agent-database", "requestId": 1967513926, "operationId": 1967513926, "driverConnectionId": 1, "serverConnectionId": 14, "serverHost": "mongo", "serverPort": 27017}
2025-04-15 11:49:01,244 - DEBUG - pymongo.command  - {"message": "Command succeeded", "clientId": {"$oid": "67fe4757625bd101b2ba6f79"}, "durationMS": 1.832, "reply": "{\"cursor\": {\"firstBatch\": [{\"_id\": {\"$oid\": \"67fe471213fef0e1d85517e6\"}, \"user_id\": \"67ab34681651d023b1165748\", \"title\": \"Test\", \"date_created\": {\"$date\": \"2025-04-15T11:46:26.966Z\"}, \"date_modified\": {\"$date\": \"2025-04-15T11:46:26.966Z\"}}], \"ns\": \"mcp-agent-database.conversations\"}, \"ok\": 1.0}", "commandName": "find", "databaseName": "mcp-agent-database", "requestId": 1967513926, "operationId": 1967513926, "driverConnectionId": 1, "serverConnectionId": 14, "serverHost": "mongo", "serverPort": 27017}
2025-04-15 11:49:01,245 - DEBUG - pymongo.connection  - {"message": "Connection checked in", "clientId": {"$oid": "67fe4757625bd101b2ba6f79"}, "serverHost": "mongo", "serverPort": 27017, "driverConnectionId": 1}
2025-04-15 11:49:06,240 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10005.000744999961, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:49:06.240Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:49:06,241 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:49:16,251 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10009.240655999974, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:49:16.250Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:49:16,252 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:49:26,260 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10009.950440000011, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:49:26.258Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:49:26,263 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:49:36,271 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10006.012751000071, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:49:36.270Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:49:36,273 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:49:46,271 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 9996.369263999895, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:49:46.271Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:49:46,272 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:49:56,275 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10003.448943999956, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:49:56.274Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:49:56,275 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:50:06,285 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10009.384716999875, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:50:06.285Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:50:06,287 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:50:16,297 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10008.558768000057, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:50:16.295Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:50:16,301 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:50:26,304 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10003.752748000124, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:50:26.304Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:50:26,306 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:50:36,307 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 9999.562437999884, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:50:36.307Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:50:36,308 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:50:46,317 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10008.23315499997, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:50:46.317Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:50:46,318 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:50:56,324 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10008.398682999996, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:50:56.324Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:50:56,326 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:51:06,336 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10008.756292999806, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:51:06.335Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:51:06,337 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:51:16,341 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10001.930739000045, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:51:16.340Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:51:16,344 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:51:26,342 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 9996.3248439999, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:51:26.341Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:51:26,345 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:51:36,354 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10006.781968000041, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:51:36.353Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:51:36,356 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:51:46,358 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10000.741985000104, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:51:46.358Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:51:46,359 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:51:56,366 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10009.390521000114, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:51:56.365Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:51:56,368 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:52:06,377 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10006.854519000171, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:52:06.375Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:52:06,381 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:52:16,387 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10004.699629000015, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:52:16.386Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:52:16,388 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:52:26,395 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10007.650388000002, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:52:26.393Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:52:26,398 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:52:36,406 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10006.613658000106, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:52:36.404Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:52:36,408 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:52:46,416 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10005.83315200015, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:52:46.415Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:52:46,420 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:52:56,426 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe4757625bd101b2ba6f79"}, "driverConnectionId": 1, "serverConnectionId": 12, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10005.088538999871, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:52:56.426Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 12, \"maxWireVersion\": 17, \"ok\": 1.0}"}
